event,aventureiro,cult,geek,hipster,praieiro,turista,underground,zeen
Arduino Day 2019,-1,0,1,0,-1,0,0,0
AutenticaMente: Mindfulness Intermediário e Avançado,0,0,0,0,0,0,0,1
Caminhada Noturna 2019,1,0,0,0,0,0,0,0
Carnaval Underground II,-1,-1,-1,-1,-1,-1,0,-1
Cine Iberê| Cinema mudo com música ao vivo,0,1,0,0,0,0,0,0
Desbravando Jaquirana,1,0,0,0,0,0,0,0
Exposição O auge e o abismo,0,1,0,0,0,0,0,0
Feira do Aeromovel 10ª ed. - 26/01,0,0,0,0,1,0,0,0
Feira Vegana Noturna,0,0,0,1,0,0,0,0
Festa Da Uva 2019 – Oficial,0,0,-1,0,0,1,-1,0
Festiqueijo,0,0,-1,0,0,1,-1,0
Festival de Cerveja e Gastronomia + La Movida Bazar & Artes,0,0,0,1,0,0,0,0
Frida Kahlo À Revolução! no 20º Porto Verão Alegre,0,1,0,0,0,0,0,0
Gamestorming - Os jogos tem muito a nos ensinar,-1,0,1,0,-1,0,0,0
Hackatown Porto Alegre | Mobilidade,-1,0,1,0,-1,0,0,0
Mindfulness no Pôr do Sol,0,0,0,0,0,0,0,1
Picnic Cultural no Museu - Edição nº18,0,0,0,1,0,0,0,0
São José dos Ausentes | Páscoa 2019,1,0,0,0,0,0,0,0
St. Patrick's Day,0,0,-1,0,1,0,0,0
Yoga no Parque Malwee,0,0,0,0,0,0,0,1
Serenata Iluminada,0,0,0,0,1,0,0,0
Masterplano,-1,-1,0,0,-1,-1,1,-1
Doma,0,0,0,0,-1,-1,1,-1
